Which company introduced the first digital Camera?,Eastman Kodak / .01 megapixels
What 1970's technology saw widespread usage in calculators?,LED
What video game console was released in October 1977?,Atari 2600
What best selling computer was released in 1982?,Commodore 64
"Founder of Commodore, this person went on to lead Atari",Jack Tramiel
"This computer was introduced in 1981, soon to be followed by clones",IBM 5150
Who was the first AI television host in 1984?,Max Headroom
What recording media read by lasers was introduced in 1982?,Compact Disc
Which iconic 1980s toy allowed children to create their own patterns using colored pegs and a backlit screen?,Lite-Brite
What was the bestselling video game console of the 1990s?,Sony Playstation
"""Tamagotchi"" is a combination of two Japanese words that mean what?","""Egg"" and ""friend"""
What coding format for digital audio became widespread in the 1990s?,MP3
"This boxer introduced his own line of ""Grill"" in 1994?",George Foreman
"What is the name of the first Internet Browser, released in 1990?",WorldWideWeb
"What Open Source Operating System, which emulated UNIX, was released in 1991?",Linux
Which colorful line of home computers looked like Jelly?,iMac G3s
Which year was the iPod mini released?,2004
"What recording media, that you can attach to your keychain, became prevalent in the early 2000s?",USB Flash Drives
"This media that superceded DVD, was introduced by Sony in 2006?",Blu-Ray
This technology allowed users to read books downloaded from the internet?,Kindle
This social networking service that had a blue bird as the logo was introduced in 2006?,Twitter
